year,month,program,script,live_call,adherent,days_to_refill_band,days_missed_band,engaged,days_to_initial_call,targeted_members,outreached_members,reached_members,engaged_members,days_to_refill,days_missed
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,15-21,1,11601,3605,3605,3565,3605,12,63613
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,22-30,0,19237,5920,5920,1566,0,5,150520
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,22-30,1,8016,2369,2369,2343,2369,1,60649
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,31-60,0,31662,9716,9716,2816,0,21,426375
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,31-60,1,13250,3989,3989,3951,3989,0,175076
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,14-Aug,0,35493,11309,11309,3802,0,10,122056
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,14-Aug,1,19150,5877,5877,5801,5877,2,63158
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,<=7,0,162216,51424,51424,19110,0,99,70282
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,<=7,1,85620,26072,26072,25829,26072,62,33845
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,>60,0,13466,4403,4403,1180,0,2,321074
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,>60,1,5666,1747,1747,1734,1747,7,127738
2015,4,IVR,Chronic Non-Adherent,0,0,>10,15-21,0,503,160,160,36,0,26478,2916
2015,4,IVR,Chronic Non-Adherent,0,0,>10,15-21,1,200,57,57,57,57,8490,1028
2015,4,IVR,Chronic Non-Adherent,0,0,>10,22-30,0,409,110,110,23,0,16280,2733
2015,4,IVR,Chronic Non-Adherent,0,0,>10,22-30,1,110,31,31,31,31,5191,772
2015,4,IVR,Chronic Non-Adherent,0,0,>10,31-60,0,537,170,170,48,0,25446,7476
2015,4,IVR,Chronic Non-Adherent,0,0,>10,31-60,1,185,62,62,62,62,9133,2662
2015,4,IVR,Chronic Non-Adherent,0,0,>10,14-Aug,0,723,211,211,71,0,29315,2202
2015,4,IVR,Chronic Non-Adherent,0,0,>10,14-Aug,1,325,91,91,88,91,13280,976
2015,4,IVR,Chronic Non-Adherent,0,0,>10,<=7,0,4472,1352,1352,441,0,199267,1412
2015,4,IVR,Chronic Non-Adherent,0,0,>10,<=7,1,2215,683,683,674,683,100809,569
2015,4,IVR,Chronic Non-Adherent,0,0,>10,>60,0,204,65,65,14,0,10962,4549
2015,4,IVR,Chronic Non-Adherent,0,0,>10,>60,1,102,37,37,37,37,5285,2607
2015,4,IVR,Chronic Non-Adherent,0,1,,,,,32269,0,,,,
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,15-21,0,47,7,7,1,0,44,122
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,15-21,1,13,5,5,5,5,31,91
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,22-30,0,34,11,11,5,0,64,288
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,22-30,1,3,1,1,1,1,5,30
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,31-60,0,45,5,5,3,0,26,206
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,31-60,1,26,2,2,2,2,8,68
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,14-Aug,0,111,27,27,9,0,134,276
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,14-Aug,1,47,6,6,6,6,37,67
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,<=7,0,780,195,195,48,0,1017,214
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,<=7,1,409,80,80,80,80,431,75
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,>60,0,7,3,3,0,0,15,223
2015,4,IVR,Chronic Non-Adherent,0,1,7-Apr,>60,1,8,2,2,2,2,13,145
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,15-21,0,19,7,7,2,0,60,125
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,15-21,1,5,1,1,1,1,8,21
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,22-30,0,2,1,1,1,0,8,23
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,22-30,1,26,2,2,2,2,18,44
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,31-60,0,37,6,6,1,0,52,241
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,31-60,1,7,3,3,3,3,28,148
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,14-Aug,0,51,11,11,3,0,92,123
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,14-Aug,1,12,5,5,5,5,45,62
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,<=7,0,621,141,141,50,0,1250,64
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,<=7,1,403,73,73,72,73,661,16
2015,4,IVR,Chronic Non-Adherent,0,1,10-Aug,>60,0,3,1,1,0,0,10,61
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,15-21,0,12906,2976,2976,923,0,13,52411
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,15-21,1,5350,1290,1290,1276,1290,5,22904
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,22-30,0,11205,2424,2424,772,0,16,61910
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,22-30,1,4422,997,997,990,997,8,25506
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,31-60,0,13836,2744,2744,836,0,9,117545
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,31-60,1,5740,1131,1131,1123,1131,13,49170
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,14-Aug,0,23067,5322,5322,1775,0,35,55902
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,14-Aug,1,10741,2277,2277,2255,2277,1,23965
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,<=7,0,188817,38234,38234,13388,0,283,45938
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,<=7,1,92325,17693,17693,17538,17693,131,20041
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,>60,0,5665,1039,1039,307,0,4,74808
2015,4,IVR,Chronic Non-Adherent,0,1,<=3,>60,1,2219,415,415,410,415,0,30173
2015,4,IVR,Chronic Non-Adherent,0,1,>10,15-21,0,428,121,121,32,0,13260,2073
2015,4,IVR,Chronic Non-Adherent,0,1,>10,15-21,1,139,41,41,41,41,4725,736
2015,4,IVR,Chronic Non-Adherent,0,1,>10,22-30,0,364,95,95,25,0,12089,2449
2015,4,IVR,Chronic Non-Adherent,0,1,>10,22-30,1,217,38,38,38,38,5202,942
2015,4,IVR,Chronic Non-Adherent,0,1,>10,31-60,0,406,89,89,19,0,11031,3729
2015,4,IVR,Chronic Non-Adherent,0,1,>10,31-60,1,148,34,34,33,34,5071,1514
2015,4,IVR,Chronic Non-Adherent,0,1,>10,14-Aug,0,773,205,205,60,0,25127,2156
2015,4,IVR,Chronic Non-Adherent,0,1,>10,14-Aug,1,297,77,77,77,77,7482,819
2015,4,IVR,Chronic Non-Adherent,0,1,>10,<=7,0,15121,3783,3783,1381,0,471046,1726
2015,4,IVR,Chronic Non-Adherent,0,1,>10,<=7,1,6987,1699,1699,1674,1699,209966,673
2015,4,IVR,Chronic Non-Adherent,0,1,>10,>60,0,93,20,20,2,0,3714,1419
2015,4,IVR,Chronic Non-Adherent,0,1,>10,>60,1,12,5,5,5,5,522,368
2015,4,Live Call,Late to Refill,1,0,7-Apr,15-21,0,146,17,17,1,0,112,329
2015,4,Live Call,Late to Refill,1,0,7-Apr,15-21,1,55,6,6,6,6,38,101
2015,4,Live Call,Late to Refill,1,0,7-Apr,22-30,0,337,38,38,0,0,198,1110
2015,4,Live Call,Late to Refill,1,0,7-Apr,22-30,1,52,7,7,7,7,38,198
2015,4,Live Call,Late to Refill,1,0,7-Apr,31-60,0,161,18,18,1,0,90,902
2015,4,Live Call,Late to Refill,1,0,7-Apr,31-60,1,83,10,10,10,10,57,478
2015,4,Live Call,Late to Refill,1,0,7-Apr,14-Aug,0,111,13,13,2,0,73,152
2015,4,Live Call,Late to Refill,1,0,7-Apr,14-Aug,1,50,6,6,6,6,30,79
2015,4,Live Call,Late to Refill,1,0,7-Apr,<=7,0,312,36,36,0,0,201,208
2015,4,Live Call,Late to Refill,1,0,7-Apr,<=7,1,189,21,21,21,21,115,118
2015,4,Live Call,Late to Refill,1,0,10-Aug,15-21,0,56,6,6,0,0,51,110
2015,4,Live Call,Late to Refill,1,0,10-Aug,15-21,1,27,3,3,3,3,30,48
2015,4,Live Call,Late to Refill,1,0,10-Aug,22-30,0,247,26,26,0,0,223,725
2015,4,Live Call,Late to Refill,1,0,10-Aug,22-30,1,134,15,15,15,15,131,431
2015,4,Live Call,Late to Refill,1,0,10-Aug,31-60,0,164,17,17,1,0,147,743
2015,4,Live Call,Late to Refill,1,0,10-Aug,31-60,1,63,7,7,7,7,57,391
2015,4,Live Call,Late to Refill,1,0,10-Aug,14-Aug,0,315,35,35,1,0,305,332
2015,4,Live Call,Late to Refill,1,0,10-Aug,14-Aug,1,68,8,8,8,8,70,75
2015,4,Live Call,Late to Refill,1,0,<=3,15-21,0,155,20,20,2,0,40,373
2015,4,Live Call,Late to Refill,1,0,<=3,15-21,1,12,2,2,2,2,3,42
2015,4,Live Call,Late to Refill,1,0,<=3,22-30,0,343,37,37,0,0,60,1073
2015,4,Live Call,Late to Refill,1,0,<=3,22-30,1,72,10,10,10,10,19,281
2015,4,Live Call,Late to Refill,1,0,<=3,31-60,0,137,16,16,3,0,41,790
2015,4,Live Call,Late to Refill,1,0,<=3,31-60,1,38,6,6,6,6,9,309
2015,4,Live Call,Late to Refill,1,0,<=3,14-Aug,0,170,21,21,1,0,39,246
2015,4,Live Call,Late to Refill,1,0,<=3,14-Aug,1,43,8,8,8,8,11,79
2015,4,Live Call,Late to Refill,1,0,<=3,<=7,0,463,56,56,6,0,104,137
2015,4,Live Call,Late to Refill,1,0,<=3,<=7,1,305,41,41,41,41,68,91
2015,4,Live Call,Late to Refill,1,0,<=3,>60,0,14,2,2,0,0,6,170
2015,4,Live Call,Late to Refill,1,0,>10,15-21,0,660,75,75,2,0,1774,1347
2015,4,Live Call,Late to Refill,1,0,>10,15-21,1,154,19,19,19,19,311,326
2015,4,Live Call,Late to Refill,1,0,>10,22-30,0,1159,131,131,5,0,3206,3722
2015,4,Live Call,Late to Refill,1,0,>10,22-30,1,400,53,53,53,53,1144,1456
2015,4,Live Call,Late to Refill,1,0,>10,31-60,0,2933,346,346,27,0,15531,17473
2015,4,Live Call,Late to Refill,1,0,>10,31-60,1,988,119,119,119,119,4337,5764
2015,4,Live Call,Late to Refill,1,0,>10,14-Aug,0,211,19,19,1,0,500,235
2015,4,Live Call,Late to Refill,1,0,>10,14-Aug,1,38,6,6,6,6,133,73
2015,4,Live Call,Late to Refill,1,0,>10,<=7,0,47,6,6,1,0,1096,13
2015,4,Live Call,Late to Refill,1,0,>10,>60,0,5558,630,630,41,0,127930,55323
2015,4,Live Call,Late to Refill,1,0,>10,>60,1,1542,189,189,189,189,38619,16737
2015,4,Live Call,Late to Refill,1,1,7-Apr,22-30,0,9,1,1,0,0,7,30
2015,4,Live Call,Late to Refill,1,1,7-Apr,<=7,1,10,1,1,1,1,4,4
2015,4,Live Call,Late to Refill,1,1,10-Aug,22-30,0,9,1,1,0,0,9,30
2015,4,Live Call,Late to Refill,1,1,10-Aug,22-30,1,11,1,1,1,1,10,27
2015,4,Live Call,Late to Refill,1,1,10-Aug,14-Aug,0,19,2,2,1,0,19,19
2015,4,Live Call,Late to Refill,1,1,10-Aug,14-Aug,1,23,2,2,2,2,18,22
2015,4,Live Call,Late to Refill,1,1,<=3,15-21,0,10,1,1,0,0,1,15
2015,4,Live Call,Late to Refill,1,1,<=3,14-Aug,0,18,2,2,0,0,2,22
2015,4,Live Call,Late to Refill,1,1,<=3,14-Aug,1,10,2,2,2,2,3,22
2015,4,Live Call,Late to Refill,1,1,<=3,<=7,0,33,3,3,0,0,9,9
2015,4,Live Call,Late to Refill,1,1,<=3,<=7,1,7,1,1,1,1,2,2
2015,4,Live Call,Late to Refill,1,1,>10,15-21,0,58,7,7,1,0,129,129
2015,4,Live Call,Late to Refill,1,1,>10,22-30,0,39,4,4,0,0,93,105
2015,4,Live Call,Late to Refill,1,1,>10,31-60,0,46,6,6,1,0,324,277
2015,4,Live Call,Late to Refill,1,1,>10,31-60,1,16,3,3,3,3,50,180
2015,4,Live Call,Late to Refill,1,1,>10,14-Aug,0,27,3,3,0,0,366,39
2015,4,Live Call,Late to Refill,1,1,>10,>60,0,348,39,39,6,0,9525,3484
2015,4,Live Call,Late to Refill,1,1,>10,>60,1,108,17,17,17,17,4240,1530
2015,4,Live Call,Chronic Non-Adherent,0,0,,,,,4366,0,,,,
2015,4,Live Call,Chronic Non-Adherent,0,1,,,,,542,0,,,,
2015,4,Live Call,Chronic Non-Adherent,1,0,7-Apr,15-21,1,18,2,2,2,2,12,38
2015,4,Live Call,Chronic Non-Adherent,1,0,7-Apr,22-30,0,11,1,1,0,0,5,25
2015,4,Live Call,Chronic Non-Adherent,1,0,7-Apr,22-30,1,4,1,1,1,1,6,27
2015,4,Live Call,Chronic Non-Adherent,1,0,7-Apr,31-60,0,23,3,3,1,0,14,115
2015,4,Live Call,Chronic Non-Adherent,1,0,7-Apr,14-Aug,1,5,1,1,1,1,5,13
2015,4,Live Call,Chronic Non-Adherent,1,0,7-Apr,<=7,0,37,5,5,0,0,21,2
2015,4,Live Call,Chronic Non-Adherent,1,0,7-Apr,<=7,1,12,1,1,1,1,4,0
2015,4,Live Call,Chronic Non-Adherent,1,0,10-Aug,22-30,0,9,1,1,0,0,9,25
2015,4,Live Call,Chronic Non-Adherent,1,0,10-Aug,31-60,0,14,2,2,0,0,16,82
2015,4,Live Call,Chronic Non-Adherent,1,0,10-Aug,<=7,0,46,5,5,1,0,49,10
2015,4,Live Call,Chronic Non-Adherent,1,0,10-Aug,<=7,1,17,2,2,2,2,17,1
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,15-21,0,2432,282,282,27,0,3,5058
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,15-21,1,1265,159,159,159,159,0,2820
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,22-30,0,3406,395,395,31,0,0,10280
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,22-30,1,1243,146,146,146,146,0,3789
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,31-60,0,5582,656,656,85,0,0,28929
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,31-60,1,1930,256,256,256,256,0,11227
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,14-Aug,0,3705,442,442,34,0,0,4700
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,14-Aug,1,1307,170,170,170,170,0,1820
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,<=7,0,14373,1640,1640,159,0,23,2605
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,<=7,1,4925,624,624,624,624,2,865
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,>60,0,2077,234,234,11,0,0,17714
2015,4,Live Call,Chronic Non-Adherent,1,0,<=3,>60,1,766,95,95,95,95,9,7116
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,15-21,0,147,20,20,3,0,2126,349
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,15-21,1,16,2,2,2,2,336,35
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,22-30,0,90,12,12,1,0,1269,321
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,22-30,1,42,6,6,6,6,1227,161
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,31-60,0,218,23,23,5,0,3873,1044
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,31-60,1,94,12,12,12,12,1706,492
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,14-Aug,0,113,13,13,0,0,2287,129
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,14-Aug,1,116,15,15,15,15,1606,166
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,<=7,0,662,74,74,8,0,10425,83
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,<=7,1,224,29,29,29,29,2308,11
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,>60,0,55,6,6,0,0,1302,424
2015,4,Live Call,Chronic Non-Adherent,1,0,>10,>60,1,38,4,4,4,4,838,325
2015,4,Live Call,Chronic Non-Adherent,1,1,7-Apr,15-21,1,14,2,2,2,2,10,32
2015,4,Live Call,Chronic Non-Adherent,1,1,7-Apr,<=7,0,12,3,3,0,0,12,0
2015,4,Live Call,Chronic Non-Adherent,1,1,7-Apr,<=7,1,4,1,1,1,1,6,0
2015,4,Live Call,Chronic Non-Adherent,1,1,10-Aug,<=7,0,27,3,3,0,0,30,0
2015,4,Live Call,Chronic Non-Adherent,1,1,10-Aug,<=7,1,8,1,1,1,1,10,1
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,15-21,0,134,15,15,1,0,0,262
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,15-21,1,30,6,6,6,6,0,100
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,22-30,0,162,18,18,0,0,0,465
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,22-30,1,42,4,4,4,4,0,108
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,31-60,0,129,14,14,4,0,0,635
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,31-60,1,93,11,11,11,11,0,447
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,14-Aug,0,337,44,44,3,0,0,451
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,14-Aug,1,38,5,5,5,5,1,55
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,<=7,0,2203,253,253,20,0,4,251
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,<=7,1,744,94,94,94,94,0,122
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,>60,0,31,3,3,0,0,0,233
2015,4,Live Call,Chronic Non-Adherent,1,1,<=3,>60,1,20,2,2,2,2,0,128
2015,4,Live Call,Chronic Non-Adherent,1,1,>10,15-21,1,7,1,1,1,1,104,16
2015,4,Live Call,Chronic Non-Adherent,1,1,>10,22-30,1,18,2,2,2,2,56,54
2015,4,Live Call,Chronic Non-Adherent,1,1,>10,31-60,0,9,1,1,1,0,11,32
2015,4,Live Call,Chronic Non-Adherent,1,1,>10,14-Aug,0,17,2,2,0,0,279,16
2015,4,Live Call,Chronic Non-Adherent,1,1,>10,14-Aug,1,10,1,1,1,1,33,9
2015,4,Live Call,Chronic Non-Adherent,1,1,>10,<=7,0,451,50,50,2,0,5790,15
2015,4,Live Call,Chronic Non-Adherent,1,1,>10,<=7,1,147,18,18,18,18,2341,0
2015,5,IVR,Late to Refill,0,0,7-Apr,15-21,0,288,129,129,49,0,714,2232
2015,5,IVR,Late to Refill,0,0,7-Apr,15-21,1,57,35,35,35,35,175,596
2015,5,IVR,Late to Refill,0,0,7-Apr,22-30,0,587,301,301,84,0,1701,8478
2015,5,IVR,Late to Refill,0,0,7-Apr,22-30,1,163,90,90,90,90,484,2549
2015,5,IVR,Late to Refill,0,0,7-Apr,31-60,0,689,336,336,122,0,1867,15500
2015,5,IVR,Late to Refill,0,0,7-Apr,31-60,1,116,58,58,57,58,305,2767
2015,5,IVR,Late to Refill,0,0,7-Apr,14-Aug,0,340,200,200,72,0,1129,2118
2015,5,IVR,Late to Refill,0,0,7-Apr,14-Aug,1,83,49,49,49,49,272,517
2015,5,IVR,Late to Refill,0,0,7-Apr,<=7,0,4730,2578,2578,1301,0,14091,14162
2015,5,IVR,Late to Refill,0,0,7-Apr,<=7,1,914,529,529,526,529,2798,2825
2015,5,IVR,Late to Refill,0,0,7-Apr,>60,0,7,4,4,2,0,23,278
2015,5,IVR,Late to Refill,0,0,10-Aug,15-21,0,111,74,74,28,0,656,1303
2015,5,IVR,Late to Refill,0,0,10-Aug,15-21,1,28,15,15,15,15,136,262
2015,5,IVR,Late to Refill,0,0,10-Aug,22-30,0,338,205,205,61,0,1838,5792
2015,5,IVR,Late to Refill,0,0,10-Aug,22-30,1,73,41,41,41,41,363,1144
2015,5,IVR,Late to Refill,0,0,10-Aug,31-60,0,430,229,229,59,0,2048,11184
2015,5,IVR,Late to Refill,0,0,10-Aug,31-60,1,83,45,45,45,45,413,2156
2015,5,IVR,Late to Refill,0,0,10-Aug,14-Aug,0,2571,1363,1363,604,0,12236,12500
2015,5,IVR,Late to Refill,0,0,10-Aug,14-Aug,1,541,270,270,268,270,2447,2545
2015,5,IVR,Late to Refill,0,0,10-Aug,>60,0,4,2,2,0,0,19,138
2015,5,IVR,Late to Refill,0,0,<=3,15-21,0,173,112,112,41,0,203,1962
2015,5,IVR,Late to Refill,0,0,<=3,15-21,1,62,36,36,36,36,76,634
2015,5,IVR,Late to Refill,0,0,<=3,22-30,0,511,290,290,90,0,542,8277
2015,5,IVR,Late to Refill,0,0,<=3,22-30,1,143,79,79,79,79,164,2223
2015,5,IVR,Late to Refill,0,0,<=3,31-60,0,467,238,238,94,0,475,11575
2015,5,IVR,Late to Refill,0,0,<=3,31-60,1,141,63,63,61,63,123,3252
2015,5,IVR,Late to Refill,0,0,<=3,14-Aug,0,293,176,176,59,0,351,1852
2015,5,IVR,Late to Refill,0,0,<=3,14-Aug,1,68,42,42,42,42,79,439
2015,5,IVR,Late to Refill,0,0,<=3,<=7,0,4692,2651,2651,1390,0,4972,5532
2015,5,IVR,Late to Refill,0,0,<=3,<=7,1,1226,653,653,642,653,1234,1414
2015,5,IVR,Late to Refill,0,0,<=3,>60,0,4,3,3,0,0,3,233
2015,5,IVR,Late to Refill,0,0,>10,15-21,0,3880,2104,2104,930,0,43230,37694
2015,5,IVR,Late to Refill,0,0,>10,15-21,1,932,475,475,469,475,9371,8529
2015,5,IVR,Late to Refill,0,0,>10,22-30,0,4758,2669,2669,1027,0,71503,70853
2015,5,IVR,Late to Refill,0,0,>10,22-30,1,1162,532,532,526,532,15597,14158
2015,5,IVR,Late to Refill,0,0,>10,31-60,0,13114,6869,6869,2663,0,279705,325651
2015,5,IVR,Late to Refill,0,0,>10,31-60,1,2433,1326,1326,1315,1326,53053,63529
2015,5,IVR,Late to Refill,0,0,>10,14-Aug,0,3103,1677,1677,760,0,27398,21072
2015,5,IVR,Late to Refill,0,0,>10,14-Aug,1,608,324,324,320,324,5251,4071
2015,5,IVR,Late to Refill,0,0,>10,<=7,0,119,75,75,37,0,14212,295
2015,5,IVR,Late to Refill,0,0,>10,<=7,1,29,19,19,19,19,4028,68
2015,5,IVR,Late to Refill,0,0,>10,>60,0,21783,11752,11752,4003,0,1924296,1012552
2015,5,IVR,Late to Refill,0,0,>10,>60,1,4584,2584,2584,2546,2584,449836,224447
2015,5,IVR,Late to Refill,0,1,7-Apr,15-21,0,14,9,9,4,0,50,149
2015,5,IVR,Late to Refill,0,1,7-Apr,15-21,1,2,2,2,2,2,14,32
2015,5,IVR,Late to Refill,0,1,7-Apr,22-30,0,24,11,11,5,0,65,304
2015,5,IVR,Late to Refill,0,1,7-Apr,22-30,1,4,4,4,4,4,17,115
2015,5,IVR,Late to Refill,0,1,7-Apr,31-60,0,14,7,7,4,0,30,404
2015,5,IVR,Late to Refill,0,1,7-Apr,14-Aug,0,58,35,35,11,0,189,353
2015,5,IVR,Late to Refill,0,1,7-Apr,14-Aug,1,11,6,6,6,6,29,68
2015,5,IVR,Late to Refill,0,1,7-Apr,<=7,0,612,324,324,115,0,1717,1737
2015,5,IVR,Late to Refill,0,1,7-Apr,<=7,1,195,116,116,115,116,581,598
2015,5,IVR,Late to Refill,0,1,10-Aug,15-21,0,46,12,12,3,0,104,207
2015,5,IVR,Late to Refill,0,1,10-Aug,22-30,0,11,7,7,1,0,60,194
2015,5,IVR,Late to Refill,0,1,10-Aug,22-30,1,2,1,1,1,1,8,30
2015,5,IVR,Late to Refill,0,1,10-Aug,31-60,0,18,11,11,0,0,93,546
2015,5,IVR,Late to Refill,0,1,10-Aug,31-60,1,1,1,1,1,1,10,50
2015,5,IVR,Late to Refill,0,1,10-Aug,14-Aug,0,244,156,156,50,0,1382,1411
2015,5,IVR,Late to Refill,0,1,10-Aug,14-Aug,1,49,28,28,28,28,253,255
2015,5,IVR,Late to Refill,0,1,10-Aug,>60,0,1,1,1,0,0,9,75
2015,5,IVR,Late to Refill,0,1,<=3,15-21,0,40,24,24,2,0,45,428
2015,5,IVR,Late to Refill,0,1,<=3,15-21,1,1,1,1,1,1,2,15
2015,5,IVR,Late to Refill,0,1,<=3,22-30,0,23,14,14,7,0,24,397
2015,5,IVR,Late to Refill,0,1,<=3,22-30,1,2,2,2,2,2,4,60
2015,5,IVR,Late to Refill,0,1,<=3,31-60,0,1,1,1,0,0,2,60
2015,5,IVR,Late to Refill,0,1,<=3,31-60,1,2,1,1,1,1,1,45
2015,5,IVR,Late to Refill,0,1,<=3,14-Aug,0,31,22,22,5,0,45,229
2015,5,IVR,Late to Refill,0,1,<=3,14-Aug,1,12,8,8,8,8,13,78
2015,5,IVR,Late to Refill,0,1,<=3,<=7,0,746,399,399,160,0,720,887
2015,5,IVR,Late to Refill,0,1,<=3,<=7,1,144,90,90,90,90,177,208
2015,5,IVR,Late to Refill,0,1,>10,15-21,0,356,206,206,46,0,4131,3688
2015,5,IVR,Late to Refill,0,1,>10,15-21,1,108,67,67,66,67,1230,1235
2015,5,IVR,Late to Refill,0,1,>10,22-30,0,383,215,215,81,0,6299,5631
2015,5,IVR,Late to Refill,0,1,>10,22-30,1,89,57,57,56,57,1442,1496
2015,5,IVR,Late to Refill,0,1,>10,31-60,0,555,331,331,80,0,14146,15058
2015,5,IVR,Late to Refill,0,1,>10,31-60,1,177,86,86,86,86,3643,3627
2015,5,IVR,Late to Refill,0,1,>10,14-Aug,0,363,189,189,65,0,3004,2360
2015,5,IVR,Late to Refill,0,1,>10,14-Aug,1,68,47,47,47,47,1039,581
2015,5,IVR,Late to Refill,0,1,>10,<=7,0,14,9,9,2,0,1438,20
2015,5,IVR,Late to Refill,0,1,>10,<=7,1,12,7,7,7,7,1303,19
2015,5,IVR,Late to Refill,0,1,>10,>60,0,4757,2575,2575,795,0,554382,229471
2015,5,IVR,Late to Refill,0,1,>10,>60,1,1407,775,775,758,775,170359,69255
2015,5,IVR,Chronic Non-Adherent,0,0,,,,,43369,0,,,,
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,15-21,0,4,2,2,0,0,14,36
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,22-30,0,6,5,5,2,0,23,126
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,22-30,1,1,1,1,1,1,6,24
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,31-60,0,11,6,6,3,0,31,267
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,31-60,1,2,1,1,1,1,5,31
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,14-Aug,0,3,2,2,1,0,12,17
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,14-Aug,1,2,2,2,2,2,13,22
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,<=7,0,47,32,32,4,0,168,71
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,<=7,1,13,8,8,8,8,40,6
2015,5,IVR,Chronic Non-Adherent,0,0,7-Apr,>60,0,2,1,1,0,0,4,62
2015,5,IVR,Chronic Non-Adherent,0,0,10-Aug,15-21,0,2,1,1,0,0,10,20
2015,5,IVR,Chronic Non-Adherent,0,0,10-Aug,22-30,0,2,2,2,0,0,18,52
